Draw No,Draw Date,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Powerball,Div1,Div2,Div3,Div4,Div5,Div6,Div7,Div8,Div1 No Win,Div2 No Win,Div3 No Win,Div4 No Win,Div5 No Win,Div6 No Win,Div7 No Win,Div8 No Win,Prize Payable,Rollover,Rollover Count,Next Estimated Jackpot,Next Guaranteed Jackpot,Total Sales,Draw Machine,Ball Set,Powerball Draw Machine,Powerbal Ball Set,Gauteng Winners,Western Cape Winners,Northern Cape Winners,Eastern Cape Winners,Mpumalanga Winners,Limpopo Winners,Freestate Winners,KZN Winners,North West Winners
379,28/06/2013,3,9,27,32,41,1,24487675,158287,18023,425,457,19,20,11,1,6,37,596,1137,24844,16264,79317,28546960,0,0,3000000,0,15832750,Khensani,P10,Ndyebokazi,PB7,1,0,0,0,0,0,0,0,0
378,25/06/2013,2,6,18,30,34,12,0,137493,18102,341,369,17,19,11,0,6,32,645,1222,24193,14666,68437,3517827,21490298,9,24000000,0,13752746,Khensani,P9,Ndyebokazi,PB6,0,0,0,0,0,0,0,0,0
377,21/06/2013,7,26,35,36,42,18,0,822740,25117,476,443,19,21,12,0,1,23,461,1015,21542,13420,63523,3522906,18886697,8,21000000,0,13715768,Suikerbossie,P4,Mapula,PB1,0,0,0,0,0,0,0,0,0
376,18/06/2013,1,5,13,14,16,3,0,321609,15574,328,331,16,17,10,0,2,29,523,1063,20317,12958,56821,2731829,16290097,7,19000000,0,10722985,Khensani,P10,Ndyebokazi,PB10,0,0,0,0,0,0,0,0,0
375,14/06/2013,15,23,31,32,35,9,0,206786,20027,385,374,19,18,10,0,4,29,573,1209,22645,15420,73911,3527623,14260075,6,17000000,0,13789244,Suikerbossie,P5,Mapula,PB5,0,0,0,0,0,0,0,0,0
374,11/06/2013,6,17,22,34,36,20,0,255579,24472,286,408,17,18,10,0,3,22,714,1028,22212,14069,68709,3246685,11649564,5,14000000,0,12782182,Khensani,P7,Ndyebokazi,PB4,0,0,0,0,0,0,0,0,0
373,07/06/2013,14,15,19,35,38,4,0,222070,13559,356,347,17,17,10,0,2,23,333,700,13406,8742,40802,1901981,9229705,4,12000000,0,7404194,Suikerbossie,P3,Mapula,PB3,0,0,0,0,0,0,0,0,0
372,04/06/2013,17,25,28,34,40,12,0,273878,20604,502,413,21,19,10,0,3,28,437,1089,20126,14841,72020,3492502,7827980,3,9000000,0,13697334,Suikerbossie,P8,Mapula,PB9,0,0,0,0,0,0,0,0,0
371,31/05/2013,3,7,19,34,44,2,0,127068,18926,353,378,17,18,11,0,7,33,672,1287,27222,16303,74791,3816665,5234869,2,7000000,0,14828320,Suikerbossie,P10,Mapula,PB1,0,0,0,0,0,0,0,0,0
370,28/05/2013,25,26,29,31,34,14,0,384603,20773,402,379,21,18,10,0,2,26,510,1109,19006,14417,68948,3282747,2427646,1,5000000,0,12823317,Suikerbossie,P7,Mapula,PB9,0,0,0,0,0,0,0,0,0
369,24/05/2013,3,10,15,30,38,3,37785470,348864,16330,390,323,18,16,10,1,3,45,716,1770,30206,21779,94945,42259484,0,0,3000000,0,17447570,Suikerbossie,P5,Mapula,PB7,1,0,0,0,0,0,0,0,0
368,21/05/2013,10,11,17,37,44,18,0,153466,34029,392,420,18,20,12,0,6,19,627,1199,26489,15483,71987,3967017,34482383,13,38000000,0,15350517,Suikerbossie,P3,Mapula,PB6,0,0,0,0,0,0,0,0,0
367,17/05/2013,13,19,20,22,43,2,0,0,68844,410,374,16,17,11,0,0,24,632,1419,31106,18698,84431,4186385,31576300,12,35000000,0,16181991,Suikerbossie,P4,Mapula,PB1,0,0,0,0,0,0,0,0,0
366,14/05/2013,1,13,19,29,37,1,0,176824,13495,300,295,14,17,11,0,5,46,785,1639,30861,17473,76821,3798021,28512806,11,33000000,0,14739081,Suikerbossie,P1,Mapula,PB3,0,0,0,0,0,0,0,0,0
365,10/05/2013,2,4,16,18,26,5,0,899472,18576,338,308,16,17,10,0,1,34,709,1595,28619,18230,79303,3822802,25722477,10,28000000,0,14994959,Suikerbossie,P1,Mapula,PB8,0,0,0,0,0,0,0,0,0
364,07/05/2013,4,5,21,37,38,6,0,209846,17335,387,401,18,17,11,0,4,34,578,1144,23817,16237,72084,3608863,22883706,9,26000000,0,13993255,Suikerbossie,P5,Mapula,PB5,0,0,0,0,0,0,0,0,0
363,03/05/2013,10,19,21,27,40,3,0,313350,19414,368,351,17,17,10,0,3,34,681,1466,28330,19148,87709,4049516,20234573,8,23000000,0,15671439,Khensani,P10,Ndyebokazi,PB9,0,0,0,0,0,0,0,0,0
362,30/04/2013,12,24,28,31,32,2,0,288384,37968,385,447,19,20,12,0,3,16,600,1059,23680,14666,67404,3729101,17267735,7,20000000,0,14422831,Khensani,P8,Ndyebokazi,PB10,0,0,0,0,0,0,0,0,0
361,26/04/2013,13,16,30,43,44,9,0,899309,20370,496,354,20,17,10,0,1,31,484,1390,23378,17894,83812,3872781,14537276,6,16000000,0,14992239,Khensani,P10,Ndyebokazi,PB9,0,0,0,0,0,0,0,0,0
360,23/04/2013,8,12,15,21,26,17,0,357093,17292,278,352,15,18,11,0,2,29,686,1109,24499,13451,60582,3072735,11699021,5,13000000,0,11906093,Khensani,P9,Ndyebokazi,PB6,0,0,0,0,0,0,0,0,0
359,19/04/2013,10,13,26,28,39,2,0,255392,17354,368,383,17,19,11,0,3,31,555,1093,22361,13307,62944,3252363,9445018,4,11000000,0,12772806,Khensani,P4,Ndyebokazi,PB4,0,0,0,0,0,0,0,0,0
358,16/04/2013,8,12,29,32,44,19,0,726611,20408,377,432,18,20,12,0,1,25,514,921,20185,12087,56776,3114843,7026935,3,9000000,0,12113227,Khensani,P8,Ndyebokazi,PB6,0,0,0,0,0,0,0,0,0
357,12/04/2013,5,12,36,37,40,7,0,389113,20238,427,320,19,14,8,0,2,27,486,1328,21017,19105,88304,3330359,4733719,2,8000000,0,12973702,Khensani,P3,Ndyebokazi,PB8,0,0,0,0,0,0,0,0,0
356,09/04/2013,8,9,20,38,39,19,0,180416,19489,410,444,19,20,12,0,4,26,470,890,19008,11988,56600,3096350,2277603,1,5000000,0,12030760,Suikerbossie,P1,Mapula,PB1,0,0,0,0,0,0,0,0,0
355,05/04/2013,4,9,17,22,23,6,33936857,338972,35702,352,372,17,18,11,1,3,20,771,1497,30199,19152,87931,38321449,0,0,3000000,0,16952862,Suikerbossie,P7,Mapula,PB4,1,0,0,0,0,0,0,0,0
354,02/04/2013,4,6,8,11,13,13,0,119682,9223,202,262,13,14,9,0,9,82,1419,2250,40071,25048,107447,4548180,30727426,12,33000000,0,17956806,Khensani,P5,Ndyebokazi,PB7,0,0,0,0,0,0,0,0,0
353,26/03/2013,1,18,31,37,40,13,0,284499,18728,525,413,23,17,9,0,3,32,434,1131,18781,16747,86189,3640109,27327933,11,30000000,0,14228553,Suikerbossie,P1,Mapula,PB3,0,0,0,0,0,0,0,0,0
352,22/03/2013,1,5,7,9,14,15,0,167743,7958,124,316,12,18,11,0,5,74,1799,1449,33978,15377,67224,3532553,24634254,10,27000000,0,13982080,Khensani,P4,Ndyebokazi,PB5,0,0,0,0,0,0,0,0,0
351,19/03/2013,5,7,11,25,35,18,0,380839,14074,271,356,13,19,12,0,2,38,749,1171,30397,13627,59328,3282355,21987237,9,24000000,0,12697828,Suikerbossie,P5,Mapula,PB7,0,0,0,0,0,0,0,0,0
350,15/03/2013,22,23,29,35,38,7,0,422895,16497,381,309,19,15,8,0,2,36,592,1495,22859,19197,91864,3584377,19583348,8,21000000,0,14100054,Suikerbossie,P4,Mapula,PB4,0,0,0,0,0,0,0,0,0
349,12/03/2013,1,6,26,35,42,6,0,0,57755,541,380,22,18,10,0,0,22,368,1074,17253,14168,65844,3170848,16913996,7,19000000,0,12444239,Suikerbossie,P7,Mapula,PB3,0,0,0,0,0,0,0,0,0
348,08/03/2013,8,19,24,34,37,15,0,170943,11114,297,311,16,17,11,0,5,54,767,1502,26820,16970,73726,3678388,14558115,6,17000000,0,14248885,Suikerbossie,P1,Mapula,PB5,0,0,0,0,0,0,0,0,0
347,05/03/2013,9,12,22,26,38,4,0,199836,14032,292,354,17,17,10,0,4,40,730,1234,23878,15620,72031,3402396,11860587,5,14000000,0,13325763,Khensani,P3,Ndyebokazi,PB10,0,0,0,0,0,0,0,0,0
346,01/03/2013,13,30,33,35,45,3,0,429304,24115,334,333,16,17,11,0,2,25,686,1412,26877,16563,74881,3696097,9337820,4,11000000,0,14313722,Suikerbossie,P6,Mapula,PB2,0,0,0,0,0,0,0,0,0
345,26/02/2013,1,7,14,21,32,7,0,241971,7607,329,192,16,12,8,0,3,67,589,2064,22380,19875,84072,3094807,6628018,3,8000000,0,12101586,Suikerbossie,P6,Mapula,PB4,0,0,0,0,0,0,0,0,0
344,22/02/2013,4,16,28,32,42,19,0,246926,21673,357,415,19,20,11,0,3,24,554,977,19604,12581,60077,3149106,4337006,2,6000000,0,12349424,Suikerbossie,P10,Mapula,PB1,0,0,0,0,0,0,0,0,0
343,19/02/2013,1,5,6,31,42,20,0,211137,26162,455,481,20,20,11,0,3,17,371,720,15706,10572,50913,2678893,1999075,1,5000000,0,10559517,Khensani,P6,Ndyebokazi,PB2,0,0,0,0,0,0,0,0,0
342,15/02/2013,3,13,26,28,34,3,20237049,217401,11307,332,331,17,17,11,1,4,54,699,1438,26357,17266,74124,23982232,0,0,3000000,0,14497042,Suikerbossie,P1,Mapula,PB4,1,0,0,0,0,0,0,0,0
341,12/02/2013,2,20,38,39,45,5,0,769475,28437,452,413,20,18,10,0,1,19,454,1019,19472,14109,69204,3271275,17492542,7,21000000,0,12827794,Suikerbossie,P8,Mapula,PB3,0,0,0,0,0,0,0,0,0
340,08/02/2013,22,25,36,38,44,3,0,877783,18677,428,437,19,21,12,0,1,33,547,1100,23771,14473,69743,3801438,15064048,6,18000000,0,14633388,Suikerbossie,P9,Mapula,PB7,0,0,0,0,0,0,0,0,0
339,05/02/2013,5,18,22,28,29,20,0,792441,13248,282,377,15,18,11,0,1,42,750,1151,26096,14647,66980,3386150,12293728,5,15000000,0,13210666,Suikerbossie,P5,Mapula,PB9,0,0,0,0,0,0,0,0,0
338,01/02/2013,23,27,32,43,44,20,0,894228,16970,448,372,19,18,11,0,1,37,532,1313,24352,16540,76733,3853361,9792751,4,12000000,0,14907529,Khensani,P8,Ndyebokazi,PB3,0,0,0,0,0,0,0,0,0
337,29/01/2013,9,21,29,37,38,14,0,249602,26289,426,341,18,17,10,0,3,20,469,1202,20957,14871,69267,3206965,6970532,3,10000000,0,12483240,Khensani,P3,Ndyebokazi,PB10,0,0,0,0,0,0,0,0,0
336,25/01/2013,7,15,20,23,25,12,0,162527,15016,254,332,14,18,11,0,5,38,853,1338,29981,15186,69203,3498436,4607267,2,8000000,0,13547373,Khensani,P4,Ndyebokazi,PB6,0,0,0,0,0,0,0,0,0
335,22/01/2013,3,10,11,28,31,16,0,647186,32459,336,462,16,20,12,0,1,14,513,766,20575,10936,51241,2790684,2042547,1,6000000,0,10789145,Suikerbossie,P5,Mapula,PB4,0,0,0,0,0,0,0,0,0
334,18/01/2013,13,19,29,35,39,11,38997922,55998,11415,183,301,14,17,10,1,18,62,1471,1833,36643,20309,92063,43313427,0,0,3000000,0,16803787,Mapula,P7,Suikerbossie,PB7,1,0,0,0,0,0,0,0,0
333,15/01/2013,12,17,22,36,37,2,0,154747,21732,343,377,17,18,10,0,6,30,721,1346,28217,17717,81894,3952722,35816713,13,38000000,0,15478652,Khensani,P9,Ndyebokazi,PB6,0,0,0,0,0,0,0,0,0
332,11/01/2013,1,4,14,20,33,4,0,478591,16002,291,291,15,16,11,0,2,42,878,1798,31650,20239,83041,4120007,32886372,12,35000000,0,15957046,Khensani,P10,Ndyebokazi,PB9,0,0,0,0,0,0,0,0,0
331,08/01/2013,8,11,12,23,24,16,0,176862,19404,312,375,15,18,12,0,5,32,756,1290,29215,16253,70409,3800547,29865464,11,33000000,0,14742224,Khensani,P4,Ndyebokazi,PB8,0,0,0,0,0,0,0,0,0
330,04/01/2013,10,18,21,38,44,4,0,488360,15949,384,354,18,17,10,0,2,43,678,1508,27318,19535,89772,4178250,27074540,10,30000000,0,16282738,Mapula,P9,Suikerbossie,PB10,0,0,0,0,0,0,0,0,0
329,01/01/2013,1,4,13,21,30,18,0,182924,21407,304,396,15,19,11,0,3,18,482,757,18337,9631,44116,2323718,23991973,9,28000000,0,9148506,Mapula,P1,Suikerbossie,PB8,0,0,0,0,0,0,0,0,0
328,28/12/2012,1,12,14,32,36,16,0,383670,20205,402,444,19,20,12,0,3,40,763,1419,30957,19014,91994,4968363,22260024,8,25000000,0,19188312,Khensani,P1,Ndyebokazi,PB8,0,0,0,0,0,0,0,0,0
327,21/12/2012,13,14,19,23,37,3,0,192166,12493,349,338,16,16,11,0,5,54,734,1555,29839,19812,83859,4134073,18627388,7,21000000,0,16017841,Mapula,P10,Suikerbossie,PB7,0,0,0,0,0,0,0,0,0
326,18/12/2012,13,34,36,37,39,16,0,107051,23917,398,398,19,20,11,0,7,22,502,1029,20143,12384,60288,3178434,15594971,6,18000000,0,12492427,Mapula,P3,Khensani,PB1,0,0,0,0,0,0,0,0,0
325,14/12/2012,5,13,20,29,35,14,0,87578,8661,238,272,14,16,10,0,10,71,979,1762,31624,18747,79599,3741655,13229967,5,15000000,0,14600040,Mapula,P7,Khensani,PB5,0,0,0,0,0,0,0,0,0
324,11/12/2012,11,16,25,28,33,1,0,258526,15127,298,372,17,18,11,0,3,36,694,1140,23582,14456,66502,3343666,10465960,4,12000000,0,12929560,Mapula,P6,Suikerbossie,PB9,0,0,0,0,0,0,0,0,0
323,07/12/2012,4,17,33,42,45,10,0,841855,19068,372,373,19,17,9,0,1,31,603,1233,22023,16453,82430,3557196,8018201,3,10000000,0,14034426,Mapula,P8,Suikerbossie,PB5,0,0,0,0,0,0,0,0,0
322,04/12/2012,5,11,20,34,45,20,0,408634,15940,307,263,15,13,10,0,2,36,710,1698,27221,20340,78570,3514087,5361273,2,8000000,0,13624569,Ndyebokazi,P2,Khensani,PB6,0,0,0,0,0,0,0,0,0
321,30/11/2012,6,25,33,42,44,14,0,440732,22105,497,427,21,19,10,0,2,28,473,1128,21134,15682,79193,3750843,2781938,1,6000000,0,14694760,Mapula,P5,Suikerbossie,PB5,0,0,0,0,0,0,0,0,0
320,27/11/2012,9,17,30,34,44,18,21419053,450499,28757,376,446,19,20,12,1,2,22,639,1104,24131,15107,71811,25307714,0,0,3000000,0,15020400,Ndyebokazi,P4,Khensani,PB1,1,0,0,0,0,0,0,0,0
319,23/11/2012,5,33,34,37,42,5,0,934367,19881,489,402,22,18,10,0,1,33,510,1271,21690,17334,86353,4003494,18575466,7,21000000,0,15576694,Ndyebokazi,P10,Khensani,PB3,0,0,0,0,0,0,0,0,0
318,20/11/2012,3,17,26,28,33,1,0,384401,29990,439,409,18,19,11,0,2,18,467,1028,21399,13773,64031,3285297,15626564,6,18000000,0,12816594,Ndyebokazi,P7,Khensani,PB2,0,0,0,0,0,0,0,0,0
317,16/11/2012,1,4,6,14,15,12,0,73800,13230,243,351,14,18,11,0,12,47,971,1380,31728,16836,74490,3794373,13200190,5,15000000,0,14763871,Mapula,P1,Suikerbossie,PB10,0,0,0,0,0,0,0,0,0
316,13/11/2012,5,7,13,18,19,8,0,369378,11276,207,212,12,12,8,0,2,46,952,1900,31726,20193,80900,3127544,10405168,4,12000000,0,12315698,Mapula,P4,Suikerbossie,PB7,0,0,0,0,0,0,0,0,0
315,09/11/2012,7,14,17,27,40,16,0,285029,15010,233,389,14,19,12,0,3,40,976,1202,29774,14915,67870,3665134,8073621,3,10000000,0,14255055,Mapula,P6,Suikerbossie,PB9,0,0,0,0,0,0,0,0,0
314,06/11/2012,9,17,18,37,41,9,0,265833,24347,463,302,19,16,9,0,3,23,460,1446,21108,17118,79354,3396278,5374926,2,8000000,0,13294981,Ndyebokazi,P9,Khensani,PB8,0,0,0,0,0,0,0,0,0
313,02/11/2012,4,11,25,26,41,12,0,90556,24456,390,383,18,18,11,0,10,26,620,1294,25029,16651,76517,3870745,2857986,1,6000000,0,15096462,Mapula,P8,Suikerbossie,PB5,0,0,0,0,0,0,0,0,0
312,30/10/2012,5,16,20,41,42,20,7893131,138476,25365,448,367,20,16,10,1,6,23,495,1239,21186,17764,77060,11462399,0,0,3000000,0,13851127,Mapula,P5,Suikerbossie,PB6,1,0,0,0,0,0,0,0,0
311,26/10/2012,1,8,12,19,34,18,0,313573,20642,339,420,16,20,12,0,3,32,740,1225,29223,15784,72648,4021647,5270904,2,8000000,0,15682600,Mapula,P2,Suikerbossie,PB2,0,0,0,0,0,0,0,0,0
310,23/10/2012,8,23,24,31,42,6,0,729380,22267,529,440,21,20,11,0,1,23,368,906,17393,12433,62842,3140008,2301953,1,6000000,0,12159381,Mapula,P3,Suikerbossie,PB1,0,0,0,0,0,0,0,0,0
309,19/10/2012,14,17,23,35,39,3,44941661,174774,21476,389,428,19,19,11,1,7,40,838,1565,31992,21650,105719,50202028,0,0,3000000,0,20395511,Mapula,P7,Suikerbossie,PB4,1,0,0,0,0,0,0,0,0
308,16/10/2012,7,9,11,29,41,8,0,579928,18940,296,284,15,14,9,0,2,43,1044,2232,39409,27014,119891,4965538,41080485,13,44000000,0,19335788,Ndyebokazi,P1,Khensani,PB4,0,0,0,0,0,0,0,0,0
307,12/10/2012,5,10,17,35,41,16,0,241633,24238,412,382,18,20,12,0,5,35,782,1730,33199,20179,96468,5198317,37419930,12,41000000,0,20141152,Mapula,P3,Suikerbossie,PB3,0,0,0,0,0,0,0,0,0
306,09/10/2012,3,5,6,22,26,17,0,372117,16330,354,449,16,20,12,0,3,48,840,1361,35616,18638,86200,4785656,33606907,11,38000000,0,18610504,Ndyebokazi,P5,Khensani,PB9,0,0,0,0,0,0,0,0,0
305,05/10/2012,1,9,11,39,40,18,0,386533,30157,411,481,19,21,12,0,3,27,753,1319,30811,18626,91066,4987107,30083660,10,33000000,0,19331490,Ndyebokazi,P4,Khensani,PB10,0,0,0,0,0,0,0,0,0
304,02/10/2012,11,18,23,31,45,13,0,330443,20473,427,331,18,15,9,0,3,34,619,1638,28261,21877,99769,4228676,26432919,9,28000000,0,16526282,Mapula,P9,Suikerbossie,PB6,0,0,0,0,0,0,0,0,0
303,28/09/2012,1,6,7,40,41,17,0,189387,19947,446,439,19,20,12,0,6,40,680,1416,30341,19382,89144,4892953,23295245,8,25000000,0,18943484,Ndyebokazi,P10,Khensani,PB5,0,0,0,0,0,0,0,0,0
302,25/09/2012,2,28,32,34,45,17,0,155725,36448,432,446,19,21,12,0,5,15,481,954,20945,12849,61227,3361129,19708960,7,23000000,0,12980341,Mapula,P2,Suikerbossie,PB2,0,0,0,0,0,0,0,0,0
301,21/09/2012,13,16,24,39,43,4,0,164776,26700,409,403,20,19,10,0,6,26,644,1342,25591,17970,88108,4221408,17251586,6,20000000,0,16481794,Mapula,P5,Suikerbossie,PB3,0,0,0,0,0,0,0,0,0
300,18/09/2012,1,27,37,40,42,16,0,209771,20316,488,469,21,22,12,0,4,29,459,979,20459,13048,64256,3599158,14131336,5,18000000,0,13988275,Mapula,P6,Suikerbossie,PB7,0,0,0,0,0,0,0,0,0
299,14/09/2012,15,18,26,33,41,7,0,499251,16693,396,341,21,15,8,0,2,42,672,1602,24558,22183,112481,4260313,11483145,4,12000000,0,16645870,Ndyebokazi,P8,Khensani,PB2,0,0,0,0,0,0,0,0,0
298,11/09/2012,13,32,34,36,45,10,0,168763,12880,450,356,19,16,9,0,5,46,500,1298,22992,17204,83271,3584934,8331832,3,10000000,0,14067123,Ndyebokazi,P1,Khensani,PB10,0,0,0,0,0,0,0,0,0
297,07/09/2012,9,14,17,34,41,17,0,178278,18409,420,350,19,18,11,0,5,34,566,1393,24405,16962,75608,3843265,5668715,2,8000000,0,14860223,Ndyebokazi,P10,Khensani,PB8,0,0,0,0,0,0,0,0,0
296,04/09/2012,6,15,19,30,45,14,0,150793,15882,254,305,15,16,10,0,6,40,951,1624,30463,18539,83105,3861531,2855452,1,6000000,0,15083075,Ndyebokazi,P8,Khensani,PB6,0,0,0,0,0,0,0,0,0
295,31/08/2012,5,7,9,20,29,20,27681610,263236,13202,256,268,13,16,10,2,6,84,1642,3220,59133,33679,141041,62052919,0,0,3000000,0,26330272,Ndyebokazi,P4,Khensani,PB1,2,0,0,0,0,0,0,0,0
294,28/08/2012,1,7,8,11,40,1,0,437864,13564,285,266,15,16,11,0,3,68,1228,2702,44994,27771,106572,5596194,50378506,17,52000000,0,21898716,Ndyebokazi,P2,Khensani,PB4,0,0,0,0,0,0,0,0,0
293,24/08/2012,3,9,14,24,26,3,0,342302,18851,362,366,18,17,10,0,4,51,1009,2044,39214,26385,120371,5802078,46232750,16,48000000,0,22825883,Ndyebokazi,P4,Khensani,PB7,0,0,0,0,0,0,0,0,0
292,21/08/2012,14,16,19,38,43,3,0,389122,24839,373,391,18,19,11,0,3,33,834,1631,32962,20748,100180,5025364,41911468,15,44000000,0,19461011,Ndyebokazi,P5,Khensani,PB5,0,0,0,0,0,0,0,0,0
291,17/08/2012,13,15,19,40,42,12,0,398086,23959,430,384,19,18,10,0,3,35,741,1701,32117,22312,105816,5074636,38227207,14,41000000,0,19909277,Mapula,P3,Suikerbossie,PB3,0,0,0,0,0,0,0,0,0
290,14/08/2012,5,21,26,28,33,19,0,308378,29527,423,413,18,20,11,0,3,22,583,1225,25808,15927,74363,3928339,34458082,13,40000000,0,15422778,Mapula,P2,Suikerbossie,PB1,0,0,0,0,0,0,0,0,0
289,10/08/2012,2,9,26,27,45,1,0,477134,33503,449,399,18,19,11,0,2,20,567,1307,26562,16926,77552,4053186,31538319,12,36000000,0,15908462,Ndyebokazi,P1,Khensani,PB8,0,0,0,0,0,0,0,0,0
288,07/08/2012,13,20,21,26,44,8,0,840148,12824,342,268,17,13,8,0,1,46,655,1712,25232,22230,96854,3605644,28526608,11,32000000,0,14005978,Ndyebokazi,P3,Khensani,PB10,0,0,0,0,0,0,0,0,0
287,03/08/2012,2,10,22,35,41,16,0,247457,22420,377,425,19,21,12,0,4,31,700,1273,26096,16152,77349,4252977,25875066,10,28000000,0,16501271,Mapula,P8,Suikerbossie,PB1,0,0,0,0,0,0,0,0,0
286,31/07/2012,7,14,23,27,32,20,0,124302,14901,316,388,16,19,11,0,7,41,734,1227,27641,15833,73195,3737303,22751128,9,25000000,0,14505578,Mapula,P4,Suikerbossie,PB5,0,0,0,0,0,0,0,0,0
285,27/07/2012,6,8,15,18,38,15,0,185133,16666,390,364,17,17,10,0,5,39,633,1390,27208,18673,83047,3938916,20005005,8,22000000,0,15431643,Mapula,P5,Suikerbossie,PB6,0,0,0,0,0,0,0,0,0
284,24/07/2012,2,5,7,15,21,6,0,71033,11335,175,279,12,15,10,0,10,44,1080,1394,30353,15668,62631,3012562,17083563,7,20000000,0,11841844,Ndyebokazi,P10,Khensani,PB4,0,0,0,0,0,0,0,0,0
283,20/07/2012,5,20,24,33,41,3,0,199371,19309,390,439,19,19,11,0,4,29,546,994,21217,13936,68061,3423329,14841724,6,18000000,0,13294746,Ndyebokazi,P3,Khensani,PB3,0,0,0,0,0,0,0,0,0
282,17/07/2012,1,4,20,23,34,16,0,733691,28621,405,439,19,20,11,0,1,18,483,915,19670,12326,58973,3115122,12324829,5,15000000,0,12231243,Ndyebokazi,P1,Khensani,PB2,0,0,0,0,0,0,0,0,0
281,13/07/2012,4,11,16,27,38,17,0,167974,28082,289,376,16,20,12,0,5,21,774,1223,26977,14274,66029,3622586,10009272,4,12000000,0,14001396,Mapula,P8,Suikerbossie,PB1,0,0,0,0,0,0,0,0,0
280,10/07/2012,8,9,15,23,36,11,0,147439,16698,392,342,17,17,10,0,5,31,502,1180,21940,14678,65935,3137033,7358597,3,9000000,0,12289732,Ndyebokazi,P5,Khensani,PB3,0,0,0,0,0,0,0,0,0
279,06/07/2012,3,10,12,34,36,17,0,205210,38424,451,442,18,20,12,0,4,15,486,1016,23151,14129,63422,3525820,5031967,2,7000000,0,13684100,Ndyebokazi,P10,Khensani,PB8,0,0,0,0,0,0,0,0,0
278,03/07/2012,16,19,37,38,39,13,0,773552,15088,423,391,20,17,9,0,1,36,488,1083,19372,15048,76276,3276337,2441361,1,5000000,0,12895764,Ndyebokazi,P4,Khensani,PB6,0,0,0,0,0,0,0,0,0
277,29/06/2012,2,4,6,19,31,20,20437110,479015,15288,298,351,16,18,10,1,2,44,857,1492,31153,17820,84037,24506468,0,0,3000000,0,15971161,Ndyebokazi,P3,Khensani,PB5,1,0,0,0,0,0,0,0,0
276,26/06/2012,2,17,22,39,44,20,0,404891,23692,491,427,20,19,10,0,2,24,440,1037,20948,14404,72664,3456505,17413529,7,18000000,0,13499769,Mapula,P1,Suikerbossie,PB4,0,0,0,0,0,0,0,0,0
275,22/06/2012,3,7,17,21,27,2,0,90550,11678,183,306,12,17,11,0,9,49,1189,1454,33173,15958,66508,3450633,14857820,6,16000000,0,13585999,Mapula,P2,Suikerbossie,PB2,0,0,0,0,0,0,0,0,0
274,19/06/2012,12,21,27,36,45,17,0,120051,21074,227,376,14,20,12,0,6,24,844,1047,25460,11994,56313,3083418,12285787,5,14000000,0,12008104,Ndyebokazi,P2,Khensani,PB7,0,0,0,0,0,0,0,0,0
273,15/06/2012,2,21,22,24,41,17,0,206828,41494,552,484,22,22,12,0,4,14,400,936,19565,12620,63061,3546854,10012473,4,12000000,0,13791988,Mapula,P10,Suikerbossie,PB10,0,0,0,0,0,0,0,0,0
272,12/06/2012,2,16,22,36,43,19,0,180570,17488,414,471,20,21,12,0,4,29,465,839,18070,11421,55809,3088060,7401442,3,10000000,0,12041074,Mapula,P7,Suikerbossie,PB9,0,0,0,0,0,0,0,0,0
271,08/06/2012,14,15,32,36,40,7,0,276773,25349,493,385,20,16,9,0,3,23,449,1179,20908,17016,86713,3559451,5121886,2,8000000,0,13842122,Mapula,P9,Suikerbossie,PB5,0,0,0,0,0,0,0,0,0
270,05/06/2012,9,10,26,32,33,7,0,264188,21404,440,333,20,15,8,0,3,26,481,1302,20138,18029,88436,3374957,2501365,1,6000000,0,13212717,Mapula,P8,Suikerbossie,PB9,0,0,0,0,0,0,0,0,0
269,01/06/2012,9,12,15,28,32,14,40000000,303442,18800,352,348,17,17,10,1,6,68,1381,2858,54099,36209,165782,47772804,0,0,3000000,0,30351849,Ndyebokazi,P1,Khensani,PB8,1,0,0,0,0,0,0,0,0
268,29/05/2012,2,6,8,30,44,10,0,880199,16704,336,298,16,15,9,0,1,37,698,1616,27091,19488,88676,3738203,28176640,12,0,40000000,14673652,Ndyebokazi,P9,Khensani,PB6,0,0,0,0,0,0,0,0,0
267,25/05/2012,1,9,19,26,32,17,0,447723,29940,425,479,19,22,12,0,2,21,562,1023,23689,14040,66486,3809856,25398698,11,28000000,0,14927846,Ndyebokazi,P2,Khensani,PB4,0,0,0,0,0,0,0,0,0
266,22/05/2012,1,3,22,31,38,11,0,712563,17869,443,396,20,17,10,0,1,28,429,983,17986,13755,65166,3037425,22572632,10,25000000,0,11879028,Mapula,P3,Suikerbossie,PB2,0,0,0,0,0,0,0,0,0
265,18/05/2012,2,14,20,32,36,1,0,400779,18761,328,428,18,20,12,0,2,30,651,1024,22898,13305,63257,3453536,20323754,9,22000000,0,13362643,Mapula,P5,Suikerbossie,PB1,0,0,0,0,0,0,0,0,0
264,15/05/2012,4,7,8,19,25,12,0,246048,14008,284,307,14,16,11,0,3,37,694,1314,26519,15063,63664,3169512,17794005,8,19000000,0,12305489,Ndyebokazi,P6,Khensani,PB7,0,0,0,0,0,0,0,0,0
